,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,p53_Nuc,c-Jun_Nuc,Bax_Nuc,p-MEK_Nuc,pRb_Nuc,c-Myc_Nuc,B-tubulin_Nuc,CNX43_Nuc,p21_Nuc,p27_Nuc,Bcl2_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,p53_Cyto,c-Jun_Cyto,Bax_Cyto,p-MEK_Cyto,pRb_Cyto,c-Myc_Cyto,B-tubulin_Cyto,CNX43_Cyto,p21_Cyto,p27_Cyto,Bcl2_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,p53_NC_Ratio,c-Jun_NC_Ratio,Bax_NC_Ratio,p-MEK_NC_Ratio,pRb_NC_Ratio,c-Myc_NC_Ratio,B-tubulin_NC_Ratio,CNX43_NC_Ratio,p21_NC_Ratio,p27_NC_Ratio,Bcl2_NC_Ratio
6337,6337,13.396067142676275,13.34401015369784,13.469736157376495,13.579063041560204,11.703517637717429,8.026431068040374,8.462466390016973,7.376893465355562,7.331433401890786,5.313554576219254,6.024943741500249,11.288452028169615,9.239633873329502,10.763607480886495,11.231538910178683,4.429499673358926,9.592109239273835,9.74925464045748,9.737756105334078,9.916406895805762,10.305609001532867,7.1298610081143465,7.09755965382367,6.2164583491433385,6.3463332724225445,4.049112183305179,4.7376307442711365,9.85306457854555,6.891471904346416,6.847015300742598,7.020997823645492,3.9254188742599143,3,2,1.3965715786291875,1.368721060820674,1.3832484621378163,1.3693531522293216,1.1356454175562682,1.1257486027996422,1.1923064831808756,1.1866714214166878,1.1552235105188866,1.3122764536204936,1.2717208382662082,1.145679289746008,1.3407344616034949,1.5720145213811807,1.599706935152839,1.1284145247286632
6338,6338,13.696893012906273,13.848018225634297,13.968772246505553,13.848837465546724,10.158591168461156,7.776553246401477,8.359380832017969,6.941778226583041,5.811536478790023,5.373433283753012,5.9462189740908125,9.481952265097831,8.432895702221792,10.973482008665302,10.983540370347722,3.7061724036352617,12.031738615559751,12.188334044387155,12.205656161059858,12.113848713802085,10.30030974955331,7.243908980100155,7.584648645403055,7.499711564556232,6.319009329035463,4.446063159769591,5.1624197655751125,8.5165670963311,7.895559373076995,9.2487498213107,9.157082795629886,4.208361391936323,3,2,1.1383968228160393,1.1361698961648858,1.1444507417037215,1.143223577637044,0.9862413282184741,1.0735299501642768,1.1021447693670645,0.9256060272224343,0.9196910743724284,1.2085823099353992,1.1518278722203796,1.1133537912456082,1.0680555111746808,1.1864827377404592,1.1994584536889294,0.8806687588040062
6339,6339,13.529084560938873,13.392681272327106,13.588150827320671,13.555852637847547,10.990371342875301,7.93451640551066,9.186665273245016,7.166010724896263,6.589428686741768,5.0324823439953965,5.348707066014928,10.136738822805825,8.500851681502573,11.087742816260263,10.32571213118173,5.009545216688064,10.165835510483378,10.41016976705768,10.497560220046497,10.453899324304132,11.24484450843594,7.754164453670563,7.700297622417023,6.193346812887643,7.219176635980983,4.700514710492158,5.154114552656063,9.611673640253953,8.291479934813633,7.9247473218045315,7.291193514305798,4.489649199767063,3,2,1.3308384290683428,1.286499795104917,1.294410371790226,1.2967269166569957,0.9773697924084471,1.0232587215447468,1.1930272989060702,1.1570498054435798,0.9127673443948583,1.0706236771820423,1.0377547901527695,1.0546278621397303,1.025251432595265,1.3991288764189256,1.4161895594900902,1.1157988060510329
6340,6340,14.217822796316874,14.103220467335221,14.357019187496086,14.319034082632825,11.863998009186,8.405714794082057,8.445429990879813,7.765500164828567,7.6880168643694065,5.480555532551013,5.957028678162848,9.514137240356508,8.640874881577053,10.51973871720577,11.04896388956431,5.455042366679844,10.09987189982792,10.176394588768689,10.30692469594631,10.342151668917294,10.715763051776626,7.215423197608493,7.224170753167398,6.5068855751747625,6.697315740223159,4.425600719640252,4.8551188562847285,8.999551059623307,7.416905689648288,6.664000713005892,7.1646302830018005,4.701918335656937,3,2,1.4077230817708801,1.3858759449933697,1.3929488776747023,1.3845314341761017,1.107153821138197,1.164964904188583,1.1690518233081577,1.1934281116692298,1.1479251035151639,1.2383755064547524,1.226958361781761,1.0571790945263817,1.165024235596935,1.5785920755792795,1.5421540893433334,1.1601737795638858
6346,6346,13.568827553542665,13.471586356708508,13.64967134357938,13.696623019918055,11.91663542369628,8.637502839366372,8.857667950163783,8.257700975479677,7.813912036463735,5.6723371961908775,6.533754358922089,11.035198271855707,9.817023540053832,14.328148173928225,10.546905461856971,5.861614025807151,9.259351067562227,9.31667574386584,9.48300572213878,9.661160505859002,11.60391493086141,7.349541939132822,7.114357980175967,6.8643333648599025,7.334640277156573,4.34407248306806,4.858378433916576,9.354795449875565,8.348144553831919,9.852902914259342,6.77000145512537,4.580772437271691,3,2,1.4654188457199326,1.4459649264468917,1.4393823797567906,1.4176995622432473,1.0269495678568934,1.1752436969405902,1.2450410809865793,1.20298658829024,1.0653435943954654,1.3057648596564653,1.3448426152457849,1.1796300978448966,1.1759527493504742,1.4542057603340643,1.5578882119548465,1.2796125775892786
6347,6347,13.634176057201126,13.495757134329427,13.694326570036473,13.794209671977393,11.80617213631319,8.45658913681914,8.53082948312748,8.174118005746445,7.674999479805793,5.632540191080017,6.462420457653612,10.49429725280757,9.557186492732457,14.313209907840006,10.473194891755336,5.429774047126919,10.228807686738463,10.347259410416916,10.402087083211422,10.383804666166164,12.02243435675419,7.609139878841634,7.255329492125144,6.443016543384353,7.84257231297213,4.8014218313992405,5.091344728805459,9.29957068681334,8.740066554588147,10.40676184026042,7.077994567018903,4.247493866029478,3,2,1.3329193855973738,1.3042832501853407,1.316497973963187,1.3284350115833212,0.9820117778127436,1.1113725429511379,1.175801800922584,1.268678723809824,0.9786329246988058,1.1730983839506912,1.2692954026646388,1.128471152726258,1.0934912718388121,1.3753759457112578,1.4796839404987587,1.2783477077043144
6348,6348,13.441749212556065,13.30756010476578,13.470330581498205,13.51655965711331,11.197878088218967,8.026385118356668,8.234461404775919,7.38818069933595,7.1491027028798495,6.187865497746247,5.636469686104336,9.917155128454931,8.707502257083434,10.593609130827778,9.902335906608975,5.0242374043610365,9.066480278756755,9.165486645182527,9.148292737819963,9.403906301542378,10.005683444355002,6.546627319179528,5.829553556843942,5.914503056121213,6.018893979707593,3.6824918795861055,3.437310377112436,8.624497664179506,6.624399583266682,6.160687126279826,5.467294955373036,4.263471838703734,3,2,1.482576347080443,1.4519207348101226,1.4724420137771175,1.4373345739202439,1.1191517451550574,1.2260336089152228,1.4125372251033865,1.24916339195895,1.1877768119828493,1.6803473571927425,1.639790728133005,1.149882058597369,1.3144590913686267,1.7195499322856869,1.8111947475739096,1.1784380416802767
6350,6350,13.7592165682028,13.522920420376826,13.66765984727143,13.708746538046706,12.857474685610585,8.113702323400469,8.272123833200089,7.351656375527817,7.734658528904051,4.977243891845304,5.390345728462127,9.275112388590477,9.287513694600692,13.045141783801455,10.265009547963267,4.618105410936916,10.753331946139152,11.057007180651869,11.083645869485784,11.312240750034395,12.463799927700126,7.500513923067738,7.190348924608358,6.484682436456335,7.584121388518058,4.4854507329722955,4.730687471569532,8.789203788550438,8.540919330045677,9.970659876922742,7.1467826662915686,4.10559148199884,3,2,1.2795305340818455,1.2230181458179696,1.2331375441089882,1.211850670522993,1.031585452285345,1.081752851420871,1.1504481799053519,1.1336956662977709,1.0198489887851607,1.1096418594585968,1.1394423666448072,1.0552847119864288,1.0874138176119528,1.3083529018971605,1.4363119780288116,1.1248331528319897
6351,6351,13.495970955567488,13.384811065619235,13.554786712496426,13.54954454909523,11.068659706501355,7.967095990099389,8.313839550984909,7.4025145602662175,6.986816206167402,6.023725431287931,5.567635162547767,10.010186849282062,8.658049103828462,10.681037673460596,9.878345771127165,5.0393442612812915,9.543432549992172,9.766316891520699,9.83312977034264,9.976970568606863,9.895358228184048,6.636112927802492,6.4804607564817145,5.911123900792223,5.936064031088864,3.8940865393981863,4.278755886891665,9.391952865070149,6.670970508252664,7.117296120058937,6.470329703208303,3.9680669195939267,3,2,1.4141631834112516,1.3705075530817745,1.3784814224031239,1.3580820406276117,1.1185708946822663,1.2005666685870644,1.2829087102594459,1.2523023852154604,1.1770115971754094,1.546890489038508,1.301227578699849,1.0658259249267747,1.297869491870423,1.500715650056745,1.5267144371683259,1.2699746156995242
6353,6353,13.733949920863116,13.526773200240171,13.696014168220556,13.7364948968911,10.85871681974712,7.714161579049313,8.223533173437914,7.1493668008915225,6.906904985547798,9.702178820652453,5.2079366053544405,9.869956550192702,8.938877088346047,6.593732992950966,8.662913483285719,4.992417107369278,9.405898660385672,9.67503542697416,9.721905123722127,9.932492770731622,12.420815485339675,7.060677991464408,6.696133480211191,5.83279191111842,7.597862653678074,5.652229101294178,4.3678456219296375,8.611410028928798,8.557613861237114,5.163734007978358,5.1963270595018525,3.9580065298208,3,2,1.46014223805171,1.3981109735812751,1.408778834387236,1.3829856425739213,0.8742354181626556,1.0925525265951648,1.2281017392709666,1.2257195027416388,0.9090589420176228,1.7165225695524209,1.1923353195467714,1.14614871630035,1.0445525158404163,1.27693118637853,1.6671224470840356,1.2613463544728691
