,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,EGFR_Nuc,STAT3_Nuc,p-PKM2_Nuc,HCN4_Nuc,LC3_Nuc,B-actin_Nuc,PDGFRa_Nuc,Flt1_Nuc,Mlc2a_Nuc,B-catenin_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,EGFR_Cyto,STAT3_Cyto,p-PKM2_Cyto,HCN4_Cyto,LC3_Cyto,B-actin_Cyto,PDGFRa_Cyto,Flt1_Cyto,Mlc2a_Cyto,B-catenin_Cyto,HIF1a_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,EGFR_NC_Ratio,STAT3_NC_Ratio,p-PKM2_NC_Ratio,HCN4_NC_Ratio,LC3_NC_Ratio,B-actin_NC_Ratio,PDGFRa_NC_Ratio,Flt1_NC_Ratio,Mlc2a_NC_Ratio,B-catenin_NC_Ratio,HIF1a_NC_Ratio
6520,6520,14.245116271946015,14.184323589942439,13.914677342082918,14.422785789274547,11.159665051979307,7.77719209693866,9.668605657776162,12.987681771258893,6.386404350170054,5.487772276336114,4.2038618779254975,4.873150169107019,7.678935207933158,9.021025430093797,9.638359183428733,7.168692645181659,10.13343722237554,10.391808405261806,9.617828270660548,10.429098400490572,11.370377461518796,7.758762589200621,8.30362767492782,10.329180178157273,7.066501848961995,5.3466105926624525,4.002068123819458,4.832593904855504,8.404990326735383,10.26630007603921,10.651548283604848,8.649072028551053,3,2,1.4057536410736842,1.3649523775631125,1.4467587640891892,1.3829369745515219,0.9814683012720895,1.0023753153323303,1.1643833317538779,1.2573777925496403,0.9037575432189491,1.0264020880569436,1.0504223686011254,1.0083922351122379,0.9136161862682077,0.8787026838566903,0.904878701837587,0.8288395126688063
6522,6522,13.162356019566975,13.060762822941356,13.047811367755893,13.348157630675605,12.870920041046602,8.898749541234166,11.43183975986053,13.281940625519836,8.126983054277648,6.670530354877796,5.5986686090978495,5.698163889929582,9.30137994453094,10.879228855792098,11.37265629597314,8.921620674531871,9.057747011592127,9.2973649581009,9.062270622197637,9.272927101065632,12.334772288994285,7.648384340608404,9.191814331454589,9.937472577726282,7.3637910223242615,4.910299034636668,3.8719729709614423,4.095489854968012,8.51916747799369,9.44431881372656,10.908073735025836,7.513943566263896,3,2,1.4531600410920904,1.404781126889223,1.439794937903956,1.4394761745880278,1.0434663680439966,1.1634809581923153,1.2436978541592736,1.3365511725073635,1.1036411855849348,1.358477418141882,1.4459472344166842,1.3913265791679241,1.091817946830817,1.1519336725460825,1.042590705951641,1.1873419857168164
6523,6523,13.476318362108428,13.272981197077224,13.426818482004993,13.665948837046557,11.652948882929365,8.048881106866398,10.124069334900248,13.677871618022404,6.863680454797954,6.31937960085661,4.757844863659979,6.983123685054682,7.631007064890643,9.61060571879478,9.278483237100888,7.740562952706808,9.949740460630482,10.055238128515368,9.919085950130839,10.110461532036188,11.244211496674433,7.346376033431678,8.322318857454551,10.581807421124974,6.896452791556536,5.33760019041932,3.8976377611511097,6.2723652573745925,7.4908302243758,9.929958247133523,9.94777501678599,8.363780393620674,3,2,1.354439185165889,1.3200066500102814,1.3536346543935216,1.3516641939385643,1.0363509158802127,1.0956260706282634,1.2164962083652702,1.2925836838342575,0.9952479430006821,1.1839364837028308,1.2206996019698915,1.1133158543094142,1.0187131247560113,0.9678394893119585,0.9327194494692802,0.9254861543962568
6524,6524,13.374133352157186,13.222644791360095,13.397904939429045,13.528685373720482,12.018463965038586,8.51724020782252,11.057774527254203,13.376385798748892,7.5220300832920595,6.674397175115508,5.441162194531918,5.368852676755859,9.118452712179923,10.493097060200911,11.366334005094805,8.332640141311098,8.50685514069175,8.513831034310988,8.334147098788947,8.699679677573219,12.178564642414806,7.1771270749855605,8.391695049706641,9.234090978136578,7.190933346707142,4.617491655994262,3.5819906175936533,3.7939365100316937,8.235112859573967,8.910497307502062,10.445638044527398,7.0692365400068375,3,2,1.5721595267542836,1.5530781311107127,1.6075916084293647,1.5550785632482411,0.9868538959986607,1.1867199951785241,1.3177045235504314,1.4485871787943139,1.0460436386517937,1.4454594988712206,1.5190330672019565,1.4151140016602461,1.1072650572820024,1.1776107099394333,1.0881416679998568,1.1787185354676275
6525,6525,13.325789260422932,13.133851516999304,13.20414138042531,10.927207431793734,11.840044005635194,8.476918768144525,10.30038102502769,11.498375370066848,7.59429814879952,6.455355073662551,5.530548095157156,7.696195531435058,8.89179458110057,10.741556182437328,11.526714706757824,9.552591665411855,9.425811303359984,9.61778723494161,9.548160154166661,10.942692033489035,10.606066683291301,7.179896039335572,8.389275691709177,11.13899783325005,6.350037363159943,4.938478912438858,3.9668693564217055,5.9945921680210015,7.626070716877322,9.560417678330936,10.969210660477305,8.273622084353514,3,2,1.4137551486600137,1.3655793371352367,1.382899026328464,0.9985849367186875,1.11634636658356,1.180646449712241,1.2278033770194476,1.0322630044638352,1.1959454274801935,1.3071545283716899,1.3941845819056566,1.2838564018569103,1.1659732660781734,1.123544655039862,1.0508244452163944,1.1545839981592871
6526,6526,13.342832918866707,13.222186790807214,13.276879513132393,13.517741576423385,11.702099800022351,8.454808304954359,11.15046007854767,13.53506556540465,7.3585941921137135,6.771329219201393,5.42806843436466,5.383599792884435,8.68706864557428,10.670149288262607,11.078714058644119,8.706928183188356,8.688402293908155,8.8338233109746,8.388886147053416,8.836317105202891,12.665766388418294,7.715264516542942,9.023437093680622,9.414445030825492,7.7802649472112195,4.8114719538861195,3.9453400506875598,4.0341510183843985,8.823946941030654,9.265127852332359,10.373888364982873,7.557929841743832,3,2,1.535706159488263,1.4967683103170946,1.5826748963324382,1.5297936250458954,0.9239156511462954,1.0958546251817678,1.2357220383745642,1.4376912840945069,0.9458025198423801,1.407330081958046,1.3758176391965766,1.3345062612555505,0.9844878605491268,1.1516462004975523,1.0679422863311687,1.1520255368207306
6527,6527,13.4226033053078,13.246427447316501,13.347375356859038,13.612894369554207,12.000651385272588,8.315103611993651,10.316175011978359,13.722050345506222,7.179351736891061,6.261404263869696,5.2212919981341415,5.773581441583737,8.260160272344995,10.441284105389695,11.375085254398966,8.477167224145674,9.240890528630947,9.400975830901821,9.358316585300363,9.416497301428127,10.984696634710662,7.169410618015456,8.473336841496652,10.129118475315225,6.630025390945692,5.020256428650932,4.155089567720679,4.945370590841086,7.647421692128281,9.880131759329569,10.808188344789157,8.17665786438031,3,2,1.4525227047891867,1.4090481334686924,1.4262581560688505,1.4456431020789062,1.0924881937432482,1.1598029538298829,1.2174867121364439,1.3547131844638811,1.0828543351727669,1.2472279758729956,1.2566015516720475,1.1674719488720444,1.0801235507710296,1.0567960387299737,1.0524506875273987,1.036752101500353
6531,6531,13.418418812409186,13.25262674745172,13.39907039996908,13.584924842451828,11.722057444141813,7.9734396596839545,11.507880833188116,13.573915049453854,7.2345905228439955,6.129547465546957,5.128666371297799,4.8307174784123745,8.221210838836122,9.830501815482618,9.476044344465482,7.816596174848767,9.096544227889387,9.20018388195855,9.151994374893047,9.27775436181368,10.956249259034882,6.803495707759872,9.527997440965898,10.10588829060494,6.537415295793068,4.720116234874906,3.900438410269944,4.2271456057519,7.472683732242349,9.676055547867337,10.98683413298224,8.033294415398228,3,2,1.4751116991515552,1.4404741163315182,1.4640601655882974,1.4642470917710473,1.0698969297796341,1.1719621797643935,1.2077963816100172,1.3431689188641642,1.1066438638982552,1.2986009582260645,1.3148948481775542,1.1427847367829465,1.1001684446197162,1.0159616970832006,0.8624908895291866,0.9730249846023205
6532,6532,13.053494540261415,12.910740985355075,13.10030668870842,13.219294927330461,14.467990823178567,9.419941751653226,11.689428015386904,13.39727851997425,9.549339780077704,7.057950156084024,5.8361023968624846,5.770054944063728,11.121477261758619,10.627538706827316,13.248864344918006,8.801190758305859,8.773044161477944,8.880963777142227,8.754407807373262,8.98481916045233,13.495280664303625,8.16307628016385,9.654293768956977,9.505686538698258,8.523446583399402,4.846165272833823,4.161542083541212,4.035393460352383,9.647998203837542,9.20495077315782,11.934106315907776,7.177539925947411,3,2,1.4879093619041315,1.4537544921176984,1.4964240845251569,1.4712922643470268,1.072077801349316,1.1539695855278898,1.2108009446505372,1.4093962035706808,1.120361310021743,1.4563989791369305,1.40238937386795,1.429861796812217,1.1527238113845204,1.154545957792392,1.1101681176794698,1.226212720390285
6533,6533,13.172286655694187,13.03701674700254,13.050665490515511,13.345676811632767,11.676147672266989,7.882072890321221,10.846201698667086,13.566744398107145,7.153401470472603,5.722438285115214,5.116621961918135,5.1152325438339785,8.37491650032911,9.728277725452033,10.69339616774302,7.642283182856564,8.486746801340242,8.545361276259383,8.437722978154426,8.671697904239336,10.158285108839886,6.2932442374385476,8.302272795580606,9.224015432364947,5.917447361715815,4.114546374580162,3.5207555161623896,3.7459475031903935,7.369863909491937,8.755031008706084,10.661163499943859,7.200074420178977,3,2,1.552100818374126,1.5256249941382605,1.5467046647897973,1.538992358706184,1.1494211421676124,1.2524657542179474,1.3064135527371061,1.4708067758109513,1.2088660926251844,1.3907823036018439,1.4532738608033862,1.3655377016034997,1.1363732903592325,1.1111642798041657,1.0030233724301603,1.061417248888185
