,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,DNA-5_Nuc,MLC2v_Nuc,p-c-Jun_Nuc,p-STAT5_Nuc,p-p38_Nuc,p-PKM2_Nuc,pMEK_Nuc,p-p44_42_Nuc,p-STAT1_Nuc,p-Rb_Nuc,c-Myc_Nuc,p-CAMKII_Nuc,pTyr_Nuc,p-STAT3_Nuc,p-SAPK_Nuc,HIF1a_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,DNA-5_Cyto,MLC2v_Cyto,p-c-Jun_Cyto,p-STAT5_Cyto,p-p38_Cyto,p-PKM2_Cyto,pMEK_Cyto,p-p44_42_Cyto,p-STAT1_Cyto,p-Rb_Cyto,c-Myc_Cyto,p-CAMKII_Cyto,pTyr_Cyto,p-STAT3_Cyto,p-SAPK_Cyto,HIF1a_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,DNA-5_NC_Ratio,MLC2v_NC_Ratio,p-c-Jun_NC_Ratio,p-STAT5_NC_Ratio,p-p38_NC_Ratio,p-PKM2_NC_Ratio,pMEK_NC_Ratio,p-p44_NC_Ratio,p-STAT1_NC_Ratio,p-Rb_NC_Ratio,c-Myc_NC_Ratio,p-CAMKII_NC_Ratio,pTyr_NC_Ratio,p-STAT3_NC_Ratio,p-SAPK_NC_Ratio,HIF1a_NC_Ratio
0,0,13.576151444127984,13.558598624806185,13.588971978209514,13.696670619143527,13.767088354822864,11.43445408476241,8.653083005772466,7.945402073041109,7.448658030479973,13.154829601699607,7.2389872342026615,5.285293009745193,5.593967883486878,5.68367706114416,6.500595269315907,9.558261442665325,6.281482873372742,7.085976372425088,4.859503467367821,6.015445052248436,10.435270416579565,10.731826518479416,10.656199684340237,10.721104931153773,10.810031075987675,11.105622943094597,7.2357655829060725,6.803882073875103,6.273755146448241,10.604093708079898,6.753368271427302,4.075103027003102,4.329338652966491,4.266259244476549,4.933057647915129,9.436587149804598,5.3430327244981415,4.640087497344979,4.15835328097711,5.437918742112664,10,2,1.3009870278548972,1.2634008387537086,1.2752174678350967,1.2775428192427487,1.2735475280365938,1.0296094278864634,1.1958766362214241,1.167774806613581,1.1872726710886827,1.2405425643943668,1.071907667886254,1.2969716286245858,1.2921067931828005,1.332239026145145,1.3177618696719002,1.0128938874753302,1.1756399777549082,1.5271212830533103,1.168612462437525,1.1062035564568589
1,1,13.858635254246847,13.842851116583713,13.887180165382835,13.987684748527105,14.03144598360669,11.433978919725005,8.815082113697938,8.074360797935546,7.483651507872884,13.315345816448865,7.798089165818298,5.072352364814652,5.600304854656758,5.854991252636254,7.092070491302088,8.647986700528886,7.223957401031503,6.064123961545469,4.8737720689009185,6.280775323978468,8.844128368872909,9.07258907725631,8.981338218735328,9.052753946983648,9.102072168448997,10.589697687511821,6.482540557780283,6.391993692508935,5.6705955610158565,9.1123785237427,6.339804327555238,3.52459537131239,3.896622613806636,3.915388100224184,4.5986010043162455,7.637050371719031,6.0032306105380355,4.50898886131456,3.6666534923329857,5.961713442921318,10,2,1.5669871214242659,1.5257883938870074,1.5462261666545172,1.5451303360772068,1.5415661097749418,1.0797266604889793,1.3598190455003265,1.2631991185157538,1.3197293701073312,1.4612371272500533,1.2300204805887762,1.4391304051806524,1.4372202313905333,1.4953795390809441,1.5422234902844307,1.1323726150286346,1.203344977011313,1.344896638262602,1.329215340116548,1.0535184866082403
2,2,13.501532730006339,13.445405641552574,13.482080875302934,13.625831017354828,13.710666038098447,11.909673340780547,9.014139334265387,8.088304782499725,7.552359155412769,13.605012844879177,7.820376759490183,5.357115089688066,5.692707477510984,5.909528657540863,6.830036826846203,9.942462542798673,6.939038749560435,6.647343043438219,5.349679871237332,6.739932855678504,9.26283778975507,9.475848552379894,9.394198265240744,9.558230003442654,9.675908008726932,10.957669158389908,6.8786532139686285,6.547484955527813,5.997909676050777,9.617943972122266,6.875103915671128,4.108367493269016,4.18090689309151,4.182763840811329,4.748860488590045,9.373894373671801,5.672844401190425,4.714265891529475,4.162829840458308,5.803808645447498,10,2,1.4576021988573926,1.418913099679681,1.4351497056632996,1.425560068385791,1.4169901187291642,1.086880172108657,1.3104511964580772,1.2353300293834277,1.2591652030988056,1.4145448220860386,1.1374921536334015,1.3039522629036833,1.36159632899684,1.4128286660321216,1.4382475213278094,1.060654424560596,1.2232027284415388,1.4100483927692895,1.2851065444097898,1.161294809567042
3,3,13.24591557810517,13.112725419526004,13.155535323752973,13.281344590227851,13.37227245182739,13.083673098209653,9.11630501914112,7.967620795855589,7.403694792018903,13.549002122087456,8.778602242243345,5.362757791679656,5.489184362648982,5.878468890377965,6.8949648998183175,9.854095374370154,8.003259758068715,6.878365399715843,5.153349733650317,6.685806648889005,9.794984000552196,9.946724286926418,9.882050094818773,9.996597720458926,10.133017210832694,12.80156248975899,7.458837859698755,6.8232601220389535,6.1464067255112935,10.525029036666199,8.249740878450822,4.317961874429516,4.131673239362101,4.435841959530369,5.424232727932803,9.484835816740173,6.1114631290119235,4.871879262617711,4.432725204123812,6.41084920054288,10,2,1.3523162036158942,1.3182958571356858,1.3312556805040394,1.328586481283167,1.3196733187753567,1.0220372012148007,1.2222152017002426,1.1677146486208814,1.2045566007353705,1.2873125646386911,1.0641064212300246,1.24196506306304,1.3285620727103942,1.3252205430241093,1.27114105268968,1.038931570853157,1.309548890195571,1.411850546563017,1.1625691863001344,1.042889395732915
4,4,13.387822366442,13.198390528874178,13.285226722417981,13.454159482176001,13.546888621318491,12.18298981715044,9.099678380316806,8.228763542047052,7.712237476481907,13.622719563702853,8.145467895059733,5.667237296473783,5.983352732942835,6.168697241695541,7.2954750901208065,9.369428567211461,7.672391796258543,6.54084747746492,5.256709453058282,7.25256248888529,9.352928672565113,9.513965305243003,9.410355730141227,9.5686006275613,9.688155197355766,12.392011381882368,7.332283182689137,6.843708374499094,6.22675887726345,10.001167949996203,7.488406181390195,4.2883351975050505,4.398572929232409,4.54754408780815,5.505692685119957,8.782101892083428,6.358700473279232,4.6872554129787725,4.397636102455243,6.6294225058425615,10,2,1.4314043050186425,1.3872649421583179,1.4117666859144975,1.4060738874838998,1.3982939316471632,0.9831325554592756,1.241042953960143,1.2023837211867363,1.2385636939696787,1.362112868398338,1.087743866685869,1.321547182172461,1.3602940838330002,1.3564898157301346,1.3250785155223124,1.0668776885471432,1.206597453127373,1.3954536079586457,1.1953488944033843,1.093996118439208
5,5,13.967715886705856,13.78595940865149,13.838687250850475,13.993664897490465,14.06257365348842,12.777381009271538,9.243409850870156,8.497161524173519,8.02278312624629,13.05875955425511,8.668853552041234,5.920184301368753,6.251273068645627,6.133811432287309,7.376933828954757,9.690904386825386,8.65966542497621,6.462159383772984,5.716274532228173,7.578370977910232,9.170221101573233,9.345483710659195,9.210335462890368,9.349156387772522,9.459053598176867,11.26411357157686,6.7615443020176516,6.541046056417525,6.0182696164447,9.37911685576183,6.88260926672508,4.021090299628686,4.288200142018908,4.391286902222875,5.237718404095834,8.159982565493658,6.245766858785854,4.645784544573443,4.289522729112661,6.4782151697470045,10,2,1.5231602086791092,1.4751466949674967,1.50251717829479,1.4967837008045297,1.4866787155322634,1.1343441210956147,1.367056021227564,1.299052391755722,1.3330714038341405,1.3923229398973511,1.2595301020431304,1.4722833510889899,1.4577848191811527,1.3968140931949506,1.4084250545401755,1.1876133691517403,1.3864855382481576,1.3909726810988634,1.3326131817491622,1.1698239066372649
6,6,13.22182806395463,13.186989047419006,13.226800882892327,13.361870398577905,13.45860302545866,11.88625077712833,9.229497491792053,8.308980389212985,7.777833907880143,14.062059778921487,8.150335395023196,5.699188585352872,6.067020809354158,6.023052877690053,6.941362878570497,9.63312672048633,7.30241144899041,5.7700723267428655,5.598440863669367,5.862171999860669,8.196879751700784,8.441770441752142,8.430297932500567,8.589936952143368,8.725805859896527,11.185949922870996,6.073509490244281,5.623060602948162,5.017066703989853,9.122730619833881,6.223013457644955,3.2565919388590427,3.483880262942813,3.461081431897637,3.960751291480001,7.551044194409259,5.304119343043967,4.115488986016335,3.788343051279,5.021828565402344,10,2,1.613031844368732,1.5621117795619617,1.5689600757643731,1.5555260152688128,1.5423908394884063,1.062605398655101,1.519631690148365,1.4776615398483521,1.5502751641102903,1.5414309996558408,1.3097087850598381,1.7500468871606927,1.7414550304405072,1.740222816539668,1.7525369223516027,1.2757343848707217,1.376743428401,1.4020380922773688,1.4778072597673677,1.1673381365998499
7,7,12.569446114266,12.51551921429015,12.600426204363847,12.746160272557793,12.898906375290384,12.215928940038896,8.823060273091365,8.502364017722268,7.905519254594995,14.096189624861289,8.454860881778679,6.429138331240942,6.1733802980570935,6.112976606641201,7.009671597837999,9.62511078316538,8.000576623321045,6.025192452157789,5.434679930534979,5.839713756683722,9.63999745448604,9.585723495669107,9.636305764422392,9.777114935176225,9.864883385405813,11.212283268686962,7.235705693939551,7.157163078674331,6.512081707831316,10.921770227753965,7.3792897604834415,5.208299785059332,4.817693623423478,4.6320973693969885,5.149504216186731,9.021218652031337,7.045933117175577,5.204811159573039,4.710780490188451,4.947125992078768,10,2,1.3038847959878581,1.3056415845861549,1.307599251456414,1.3036729502585165,1.3075579174481808,1.0895130498669134,1.2193779910757485,1.1879516959807905,1.2139772824238302,1.2906506299721099,1.1457553716151638,1.234402510716403,1.28139744462834,1.319699505245287,1.3612323252021228,1.0669413029910393,1.1354885847295901,1.1576197997262303,1.1536686843834594,1.180425516963616
8,8,13.606763730278455,13.368787617076626,13.510786737911346,13.662929767001865,13.730367996664492,12.33531205968131,8.854501221770152,8.16146834045391,7.944355136503176,13.700031805608567,8.224401572501618,5.387637069566677,5.7429572964383455,5.885875407760702,6.684349216561725,10.472028465242014,7.607426588194202,6.080160746923236,5.462200405782578,6.314628107859797,8.842540514904439,8.918364616410896,8.89078008574332,9.099189525127287,9.15207536425307,11.157309408534033,6.654676938338427,6.513505108217273,6.2918597800113805,9.3253615427608,7.0976920737739135,3.9282925123668577,4.1588066701287385,4.14244613569032,4.551686682889551,9.26902096477808,5.641683784135628,4.522163243199217,4.2774505526439555,5.9416683217898285,10,2,1.5387844372715893,1.4990178347806502,1.519640189905987,1.5015545867323536,1.5002463867696822,1.1055812479526868,1.33056815587219,1.2530071297798797,1.2626402072311926,1.4691153520201892,1.158743079724593,1.371495898690228,1.3809147075020365,1.4208695092132677,1.4685433515644126,1.1297879792305265,1.3484319361510881,1.3445248258269,1.2769756981541989,1.0627702129892065
9,9,13.249032214027395,13.181265626980169,13.267643184850776,13.40993136519371,13.545925813630578,12.931227888067406,9.248220017214313,8.545757383214482,8.033267784014406,13.564393805698035,8.658872008266236,6.0678770605032275,6.245203983098124,6.3676142604618295,7.38106102911817,9.829947160910422,8.02423864049879,6.588618748803111,5.539613920995399,7.177340718987392,9.47244324009659,9.592403882722829,9.498017655310866,9.639318228388703,9.738875663549187,12.973961052316785,7.655223498690415,7.2039537953625885,6.594016135752245,10.120910485949844,8.251242602437216,4.8399686034676845,4.807667975242572,5.0004956837678245,5.798214608284932,9.42603744039458,6.7759571179527205,4.923290855756461,4.5655815136309785,6.499435081338516,10,2,1.3986921724634473,1.3741358045527408,1.3968855045696935,1.3911701063774609,1.3909126968660743,0.9967062361234892,1.208092751151735,1.1862593273038002,1.2182663218639471,1.3402345396225508,1.0494021840672356,1.2537017401633113,1.299009002963234,1.2733966116862827,1.2729885883443406,1.042850426074579,1.1842221697712314,1.3382550293772504,1.2133424634860541,1.1043022399893354
