,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,p53_Nuc,c-Jun_Nuc,Bax_Nuc,p-MEK_Nuc,pRb_Nuc,c-Myc_Nuc,B-tubulin_Nuc,CNX43_Nuc,p21_Nuc,p27_Nuc,Bcl2_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,p53_Cyto,c-Jun_Cyto,Bax_Cyto,p-MEK_Cyto,pRb_Cyto,c-Myc_Cyto,B-tubulin_Cyto,CNX43_Cyto,p21_Cyto,p27_Cyto,Bcl2_Cyto,Dose,Drug
2123,2123,11.909169351183133,12.100317686565585,12.131817029088733,12.362134259553736,7.666852715578513,10.668861022258666,13.119775102135362,11.971808189331071,10.451569097453351,8.850922346058146,11.635476486153483,11.144758102016537,8.40080037895057,12.230963910820869,13.429602822659565,11.483856974653635,10.293842672362596,10.259380265788256,10.33469783247922,9.937615381072137,11.383936889843824,9.858518372029758,10.466977126534598,10.685796605500755,10.526463814351594,10.755860836818297,11.274272722412373,11.914502253344764,10.594383772156618,11.18955887587576,12.163773720792046,11.843085140852216,3,6
2124,2124,12.107090453471146,12.335467979396155,12.37748952679716,12.609986288724382,9.484742173497002,10.994982663741231,13.202969145239011,12.436716889262588,11.77381150093026,8.847551286251925,12.228247963083913,10.411414940548203,9.935663256439561,12.287623022804894,13.52151173073043,11.451663826556231,11.681505340253254,11.779714085232733,11.789807923418198,11.276532855278615,12.99958817201332,11.890320302864088,12.104903455114307,12.066091892831404,12.280111307989426,11.72459366449194,11.939335986162892,12.145688418005447,11.34081498100076,12.17719359870368,13.180878402402596,11.911358799278238,3,6
2125,2125,11.882047590091455,12.047974238220329,12.05617928761872,12.343109473218277,12.098934724635722,11.367928710029721,12.809089076901259,12.393173141006171,11.206425530117139,13.461831859366402,12.782272293155026,11.559142994678256,11.12667342098435,11.064414261919136,12.631487890708476,12.147217266759617,11.191227230156786,11.128941472076534,11.135423606764324,10.368532687853316,13.872674880270608,12.525393969787647,12.242157217014448,11.741886558733276,12.97450807603869,13.336489892808885,12.592422535517453,11.91839692570348,11.487516794659795,10.636461344018224,12.429086531884332,12.157562305350128,3,6
2126,2126,11.897495062088757,11.636258682365177,11.88665097820806,12.223565309224586,9.400815152505674,10.048400106470247,11.83151806418143,11.973927942766847,8.871770283555527,8.538069057740474,11.475782720938584,11.17412188690446,8.451158563034289,11.630522557696267,12.147861458515232,11.406884499443615,12.435820640515107,11.306417855125186,11.529850725096184,11.797986496723723,10.313719822840833,9.265766964991835,10.135073454157553,11.281237841160168,8.367338898304597,9.779140614725431,10.081121751935806,12.122783796611808,7.661916336983626,11.750432650793204,11.904857018081259,11.224475404486396,3,6
2127,2127,11.565704087794757,11.834892024488108,11.844263986314946,12.016417766215707,11.854108743458886,10.55759848072215,12.161682835297757,11.965051176556926,9.418714773005952,13.812255458932654,11.827691985174289,10.898266262372617,10.661183211015322,6.413328605330178,11.175586390626712,11.454628209746426,10.893963727575608,10.782106028447114,10.870614950728559,10.369863945854721,13.748171486287065,12.190773277722009,11.825929032264288,12.086546321399126,11.3511597930754,13.268609700452409,11.930169075422153,12.431194079801848,11.250365516154103,9.638553009970419,11.37292719185243,12.532292382187991,3,6
2128,2128,11.498899910224447,11.731421676961908,11.767365814750464,11.902816437434454,10.695937611809702,11.953900206953533,13.616425490184875,12.994306273924035,11.828979289883769,9.63765277228441,13.240095679672995,13.251368902044087,11.59546398799666,12.886589689185898,11.116297693029003,12.571550542055139,11.57982124264734,11.393545034772847,11.453031746290714,10.856316948593195,11.477265123087678,11.954410994454276,12.254610865501508,12.300239368440845,12.473993090659974,12.070535643947848,12.2596426107305,13.229819870659055,10.233193362161147,12.787371367495489,12.036750834571288,12.512564188222262,3,6
2129,2129,12.043282566222851,12.601184301686622,12.61530881850877,12.716405186596427,11.614502224515428,12.588156595616233,13.83120518172584,13.677053277365932,13.269880848227894,10.329532214733046,13.81995818248425,13.872674880270608,12.451566288754805,12.99992455948499,11.647635040533109,13.872674880270605,12.019104653378037,11.705210943175508,11.844936768479442,11.330333181808546,12.303322900487526,12.51106460530076,12.765884521695073,12.9718144483444,12.934023693411042,12.531745064912153,12.817523922581149,13.872674880270608,11.22756464299359,12.838261753201737,12.709301372382466,13.610793811269335,3,6
2131,2131,12.237895012272684,12.610205323945198,12.629157652368438,12.711675981068936,9.130788376097657,10.248019916802622,11.844158367616085,11.814248763739483,8.80410020914396,8.854646040744418,11.932377322439597,11.65740541944774,10.014355083766699,11.619624911644886,11.795453367250099,11.555917498850127,10.854386891005234,11.056657866440775,11.066597514111967,10.650806289867733,10.840202102580703,10.639617298381577,10.816541396403471,11.636207701429848,9.76184117829921,10.876984142961021,11.514600796515253,12.49529654717969,9.272272631113337,10.653903487088675,11.172209863630464,12.340677086179294,3,6
2133,2133,12.572423360957705,12.891386138872493,12.691178583607329,12.834496298882414,11.631770519108764,12.20144613336354,13.739883442701876,13.187619141566989,13.461040991154409,10.445142658095412,13.655291648315435,10.194314368133618,11.627942783546686,9.248484287071022,11.67389653400859,13.057285049357539,11.470363928814606,11.217805292244632,11.60591623304914,11.070733789302029,12.39203058884623,11.83427959186351,11.961942858023672,12.530587699177001,12.458774481385012,11.942282938663947,12.457191947352685,10.654019485310906,10.805810979757162,10.339219571794994,12.441320755547734,12.696875761468458,3,6
2134,2134,12.107304461601734,12.247080143831065,12.276552396215859,12.506616013239196,10.77130532230575,11.598488816210132,12.570814972398242,12.950083455680346,10.559339435017137,10.025099411779314,12.604167030422303,11.163898348096634,10.704058836183464,12.227002385886538,11.647539713692034,12.186694542391615,10.772480422649119,10.660211034334408,10.792433099926667,10.314741199334463,11.132148339551515,11.376315755333268,11.562769682485738,12.063425788076318,10.192871145589756,11.58630778486666,11.857897191536393,11.870570384960216,9.03179236398886,10.858766299180731,11.007269764357552,12.132382451151672,3,6
2135,2135,12.190199828093391,12.296477296213133,12.32622277546433,12.513738669365951,8.73467074519428,9.642573399460932,11.831964046383838,11.130068014423133,12.612154511718158,13.32394441693357,11.464114985268136,9.745344721916293,10.426519467417275,6.133118020117927,10.087280565322091,11.111929014479568,10.978384418419342,10.959953831990962,10.987277918929246,10.434021028261755,10.481002956772311,10.406352101906092,10.836670479196222,11.239366774394634,11.108690876087756,12.998851617350907,11.662275306037117,11.93806586031661,9.262344106700342,8.596794325956807,10.925499857899013,11.738510015195525,3,6
2136,2136,11.643728579053885,11.672291125049465,11.720018424220614,11.850603796565954,10.740205273429586,11.059742736153892,12.355312960602074,12.57354495220145,11.147788978477305,9.429639106311953,12.611649435719766,11.266909020737948,10.059831724185711,11.887899559674368,11.742849513655054,11.994569820289032,11.323089970775536,11.138301185511091,11.245608996936047,10.713858567046824,11.663844110452551,11.302599157915015,11.577034976196144,12.047658235176742,10.284072110647607,11.522222160822524,12.038953434944075,11.394044234438505,9.224668205304429,11.654425257264107,11.634027351943095,11.841702763647447,3,6
2137,2137,12.127707534245609,12.283077696294033,12.296755740306015,12.512830736454944,11.083437882338018,11.888196322816933,12.781287831597705,13.1298800127038,10.898085652833448,10.111697331018114,12.768118474365794,10.880784105895717,10.793296090556296,12.03703826773074,11.498154966156989,12.529147967440656,11.329584821235088,11.161557917740216,11.236626776264117,10.827015820514523,11.547701667896707,11.886908179743564,11.975299450122032,12.486577190738464,10.921573921121595,12.101263000086705,12.139852479863125,11.543583024008882,9.571792882211806,10.61528916149176,11.235562938236829,12.620115346610381,3,6
2138,2138,11.925996562800163,11.985719513185243,12.06178008135769,12.237448015644649,11.358269878873838,11.407502230197814,12.77733173620009,12.853312729239338,10.714070491499935,9.95270315208244,12.7275989527037,11.356038603220105,10.33204983928475,10.158333536412236,11.973528624053259,12.09374648051449,11.112680017424557,10.910227324392032,11.027667655600476,10.475441171603624,11.51924921616925,11.215461008327381,11.407393404988143,11.729437886744401,12.647869977537582,11.520854883339178,11.885158956761662,11.270834183478652,10.257642536802146,9.767563437388992,11.90558446942642,11.540116220691631,3,6
2139,2139,12.517372856387475,12.829932827930042,12.734862467846826,12.899786828494834,10.794965762046832,12.577053333554275,13.380012225220812,13.570348832744989,12.169023797620405,10.394057473067214,13.272822011493027,10.670546811278523,11.123440317181222,8.693898834779851,9.952617694217492,13.365306545066321,12.451269177573067,12.199955140082785,12.187994752780078,11.69091494659959,12.304459424584685,13.633819407436386,13.47932110959869,13.565805812383456,13.250794814326696,13.430221899272329,13.302920079083046,11.690661513049605,11.54883044980543,10.917528349318333,12.261658799455633,13.82037398105685,3,6
2140,2140,11.811866541556856,11.87451385719703,11.943903781923568,12.117880417679064,10.538712005106236,10.855931559780217,11.775433047638225,11.911614227192409,12.264042477683676,8.81615511944459,11.706867556164264,10.745288630814477,10.841701689941237,11.751057894552028,12.319370960762882,11.25664784415109,11.438242154572231,11.30106701931252,11.408005355377025,10.845714867955348,12.539320171238648,11.341864016027763,11.281223376755474,11.61104525923628,11.819821221901766,11.20696422824351,11.521301129610341,11.563507299658115,10.610589340031812,11.553115657963804,12.119715665833965,11.550832551582033,3,6
2141,2141,12.148125787308926,12.444880525436414,12.462558572112453,12.5902934395524,8.912401965082385,10.372786155861867,12.236248368873479,11.824368692392325,8.332710506122787,8.88971118380853,11.873239849488199,11.614356420215385,8.703071186212393,13.140989185444267,12.402842250226307,11.597741602230773,10.386039153002722,10.49686796286259,10.528680833139756,9.955452496272668,9.875973895507313,10.426872575505026,10.767014003796566,11.043161964326945,10.458759780018816,10.735438751530236,11.078407301496835,12.563205625030598,8.681332992798218,11.603020331465473,11.347919265466235,11.745560768512389,3,6
2142,2142,12.305402566636847,12.57219750409002,12.594659203186064,12.675543312475376,8.838493815754871,10.13830994614076,12.322707388902948,11.605443879111846,9.103901104196613,8.63710929303005,11.660891416494445,10.984530202034517,8.700236358454834,12.556274730325189,12.348186803508785,11.154949715827641,11.842203744968874,12.003152005170586,11.97441402164419,11.386308451633306,9.974298277589114,10.803882729680476,11.385682178298485,11.22204480865099,10.97673879013322,11.488059748221517,11.633938067188554,12.41373684313758,9.055866146999477,12.406006121698926,12.266924291099212,11.593623441931738,3,6
