,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,p53_Nuc,c-Jun_Nuc,Bax_Nuc,p-MEK_Nuc,pRb_Nuc,c-Myc_Nuc,B-tubulin_Nuc,CNX43_Nuc,p21_Nuc,p27_Nuc,Bcl2_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,p53_Cyto,c-Jun_Cyto,Bax_Cyto,p-MEK_Cyto,pRb_Cyto,c-Myc_Cyto,B-tubulin_Cyto,CNX43_Cyto,p21_Cyto,p27_Cyto,Bcl2_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,p53_NC_Ratio,c-Jun_NC_Ratio,Bax_NC_Ratio,p-MEK_NC_Ratio,pRb_NC_Ratio,c-Myc_NC_Ratio,B-tubulin_NC_Ratio,CNX43_NC_Ratio,p21_NC_Ratio,p27_NC_Ratio,Bcl2_NC_Ratio
4,4,13.862181356462655,13.647597941705136,13.808207960065776,14.054613396052934,13.041535982059901,9.623411992323778,9.472863023849593,8.860815206539119,8.543294205189817,6.684057764363133,7.232177428709688,11.149491018937605,10.111466393069662,11.532968757958267,11.49079107350634,6.181378745702168,9.650396671682104,9.51189095422917,9.63502597135717,9.942130867230409,12.74787738018813,8.27885950612847,7.9576563058323595,7.519290538623829,8.090131053276012,4.907774939465506,5.837198431733688,10.012089219921512,9.020209498146171,6.916879415155183,6.684175397936523,5.03874830892318,3,2,1.4364364313789828,1.4347933557456471,1.433126179536471,1.4136419630501347,1.023035882218961,1.162407936165603,1.1904086655397144,1.1784110696380692,1.0560143153342738,1.3619324127139125,1.2389809106697924,1.1136028429264246,1.120979107541545,1.6673658836221767,1.7191037621564618,1.2267687065764903
6,6,13.530748552966347,13.602227231561947,13.586613803993954,13.920149926636588,12.218035809314983,9.640150413945577,9.248720224405423,8.823984958930511,8.863679528919967,6.570469712260934,7.067570631382312,9.407594763193867,10.577138269518429,8.262172100741045,7.555520820933653,7.331647399497634,9.811077965071297,9.505460869860103,9.634132880177226,9.856502763170695,10.805136994819039,7.480067487448969,7.3182541671212125,6.797378990231478,7.1833489137540365,4.305708086283048,4.7387346702188005,10.021748109559898,10.969976692969494,9.836919569641363,6.335436865648561,5.1305502783443915,3,2,1.3791296533507895,1.4309908186242566,1.410258086843413,1.41228083237088,1.130761767775218,1.2887785344344922,1.2637877850645354,1.2981452073823558,1.2339202279244132,1.525990517841391,1.4914467939721094,0.9387179422539885,0.9641896756532919,0.8399145730783147,1.1925808718733386,1.4290177469742151
9,9,13.608149600563483,13.481503148463824,13.64448221777832,13.738232955496409,11.549469176737087,8.206862777212336,8.772532616724952,8.011900852184317,7.52525650452022,6.081846442570952,5.9571520897933485,10.375441476523953,9.107261438814776,11.239547022948168,9.774229698715864,5.129557326828798,8.508597722669906,8.47581457435167,8.580332241085378,8.812969860273247,13.275914981615948,7.808895257904607,6.882521096418223,6.5392152060354185,8.664190122756326,3.954049081496637,4.635793286715296,7.9790638190305865,9.696104065004326,7.058821890944848,5.2028727302306255,4.155221471486544,3,2,1.5993410482089865,1.5905849556052905,1.5902044156803359,1.5588653057155075,0.8699565485867011,1.0509633573205999,1.274610349002827,1.2252083162501934,0.8685470191559256,1.5381312465319545,1.2850340214402238,1.3003331859281348,0.9392701829268901,1.5922695311757917,1.8786217164075443,1.2344846988369267
12,12,13.946751409944392,13.879649435041847,13.991682131322472,14.125239276431543,14.12818196634266,9.494937887915023,9.454434101795893,8.696090321663094,9.200628128250631,6.0922865025737725,6.9138718761674705,11.335078334386324,11.375914401971533,14.50503450209683,10.883596017656986,5.5278670966407715,10.637536803268377,10.701847891706967,10.749202510974765,10.889769702140443,13.823820253929625,8.738926834475912,8.148803671428501,7.932705052901388,9.115314197111603,4.989345182452579,5.995788057195377,11.310321718253302,10.90341709163795,10.872294928119176,7.451017153434375,5.034766110810298,3,2,1.3110884284470123,1.2969395169405658,1.301648388988596,1.2971109273004324,1.0220171925576444,1.0865107429961052,1.160223571828736,1.0962326550238368,1.0093594065211775,1.221059333397139,1.1531214596337052,1.0021888516303712,1.0433347918696012,1.3341281300769579,1.4606859430783141,1.0979392041214628
15,15,13.43136551972137,13.200518757973873,13.34450749048166,13.503473428330429,11.563050104163608,8.018188614773933,8.20314259613961,7.52970866784045,7.118732405042434,5.046346099372032,5.641440326832884,10.225342808966236,8.048582707948357,12.294275178963685,10.111366642040156,4.334519458758805,9.727323569490242,9.650787948218762,9.750638162307382,9.989122100673333,11.011537679758424,7.047650867661496,6.974395832438836,6.650133411929632,6.769843333268219,4.02599425891348,4.689338072308722,9.173285152149239,7.237044812951969,8.261447964198048,6.267058351939733,3.720172410688093,3,2,1.3807873690815486,1.3678177190091803,1.368577858018252,1.351817836666568,1.0500849600159823,1.1377108153251176,1.1761796710742614,1.1322643022969965,1.0515357674615173,1.253440957646552,1.2030355329137976,1.1146871201938497,1.1121366408487616,1.488150168377549,1.6134151102822527,1.1651394022238557
16,16,13.784201749057894,13.806222116374553,13.953422692899995,14.028316752740832,13.79033616364516,9.486666730595065,9.406745974982316,8.720024914095688,9.047333856147569,5.989792525097153,6.8705156657426585,10.88067851742784,11.35275978000008,14.157546134173016,10.771659739365699,5.649373662408991,10.060759207211516,9.898806621127664,9.983877711652106,10.137329300083556,13.650760006120093,8.323064682312214,7.657316484543652,7.485770617019255,8.972092051640425,4.512855017225721,5.523871428651503,9.977241483966942,10.836916759650043,9.648504686292393,6.653256503639994,4.687690616099434,3,2,1.3700955827645123,1.394736016653466,1.3975955130755522,1.3838276667825327,1.0102247902287118,1.1398045182510335,1.228465088777498,1.1648800584765846,1.008386205143023,1.3272734227520961,1.2437863108301743,1.0905497812108376,1.0476005336010992,1.4673305962411571,1.6190056303214113,1.2051507074734726
17,17,14.081540255851335,14.06399534614078,14.204045013489814,14.302434820087548,14.477124308478007,9.698972343863517,9.229673566703449,8.890661959864051,9.661206167905016,8.95998998597381,7.171196153290823,13.376384076013165,10.526630298848987,12.674153235017211,7.0363479338109824,7.282344527614738,9.793541107191624,9.797412555034118,9.814897921067528,9.97139746511908,13.952513355165605,8.557123821728947,7.867998453123767,7.449819267605479,8.874494458826229,7.6091003958914865,5.876537152450579,8.71419858099887,9.729944278610972,11.061667389827925,5.864185082853261,4.756405945766402,3,2,1.4378395007206264,1.4354805686848822,1.4471923322810163,1.4343460753739743,1.0375997456485628,1.1334383545128908,1.173064995080047,1.1934063955784646,1.0886486224909808,1.1775360449721142,1.220309846981969,1.535010242385352,1.0818798132266128,1.1457724037763144,1.199885036777761,1.5310603448590487
18,18,13.577785674012842,13.423437294879319,13.602416470011477,13.695829243360704,11.663520299348132,8.326109488897567,8.74409625531218,7.987583565393188,7.5573880178675,5.603455276615287,5.906061407243088,9.903799371088024,8.633306410347645,12.93103046129405,11.336315795935926,4.930148160033889,9.183903056004967,9.243763896188142,9.330384719150928,9.503500848007858,12.371987661274176,7.1857173977893485,6.536301462736801,6.119971380931754,7.600836453475736,4.456757915285109,4.245448370616407,8.49794216736278,8.248881279049552,8.805644594481825,6.521833483451874,3.18955201968454,3,2,1.4784330356291056,1.4521614188366225,1.457862336811478,1.4411351629680391,0.9427361729317244,1.1587026079621576,1.3377743216346325,1.3051668166750632,0.9942837297086733,1.2572940651313842,1.3911513912452957,1.1654350166237402,1.0466033051384134,1.468493342258834,1.7382099412228238,1.545718059968027
23,23,13.522021482667597,13.068196425586846,13.238348715017667,13.502711294435375,11.346026035274411,7.74190695955841,7.943844390794737,7.551846029240464,7.129540089174666,4.704691541045464,5.351570793471075,9.617182471390016,8.548787655639513,13.096065512585511,10.283817126475872,4.865394011270868,9.094766989649909,9.10422990160543,9.168722732191517,9.4687088723045,10.094420727883236,5.927835531486077,5.906721056419594,5.886240660685973,5.765018194228852,3.144622508330985,3.5723399696373064,7.863421324726151,6.371734106071018,8.805623597337133,5.976317471179067,3.1908322128418147,3,2,1.486791415113331,1.435398333172849,1.4438596412712574,1.4260351095945225,1.1239898099287597,1.30602593787172,1.3448822646129766,1.2829658970077489,1.2366899546495425,1.4961069344830484,1.4980575306259027,1.2230277476229396,1.341673634418327,1.4872388500169176,1.7207615184551062,1.5248040908229572
25,25,13.723586615144319,13.503086558214278,13.653005706234506,13.832187373780096,11.45846551594229,8.594337496526471,8.645954541479043,8.2100883279237,7.522668236506556,5.852100328253221,6.276077000910864,11.539304991380966,8.664342859684702,11.001008093516386,10.877871745267964,4.946868757473105,9.712781653011763,9.638459382734641,9.654327724783538,9.843196453878841,9.264142958130943,6.716568918055655,6.620993350035117,6.172296710334813,5.729094828864447,3.795521955922741,4.391463491744044,9.534229866210133,6.077492503179942,7.3797690670483895,7.00837010797348,3.376442576153878,3,2,1.4129409169708735,1.400959014508308,1.41418502618116,1.405253612339449,1.2368619059235735,1.279572591509178,1.305839484257024,1.330151273216797,1.313064011195222,1.5418433607323183,1.4291538601447777,1.2103027883014377,1.425644351704463,1.490698149707325,1.5521257550157233,1.4651126580414429
