,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,MLC2v_Nuc,PCNA_Nuc,Ki67_Nuc,p-STAT5_Nuc,MCM6_Nuc,Oct4a_Nuc,p-Rb_Nuc,p-Aurora_Nuc,a-ACTININ_Nuc,Mlc2a_Nuc,Cox4_Nuc,mTor_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,MLC2v_Cyto,PCNA_Cyto,Ki67_Cyto,p-STAT5_Cyto,MCM6_Cyto,Oct4a_Cyto,p-Rb_Cyto,p-Aurora_Cyto,a-ACTININ_Cyto,Mlc2a_Cyto,Cox4_Cyto,mTor_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,MLC2v_NC_Ratio,PCNA_NC_Ratio,Ki67_NC_Ratio,p-STAT5_NC_Ratio,MCM6_NC_Ratio,Oct4a_NC_Ratio,p-Rb_NC_Ratio,p-Aurora_NC_Ratio,a-ACTININ_NC_Ratio,Mlc2a_NC_Ratio,Cox4_NC_Ratio,mTor_NC_Ratio
0,0,13.536410302119824,13.479561463274813,13.520324592855813,13.697373979820163,12.8407920592048,13.56646997226245,7.734172870205896,6.8212363329125845,8.833106368986117,5.090565036256684,5.113794024826675,4.849387771198192,10.853314292536151,9.805869722023973,10.339329494427163,8.740808204432941,10.349371883209702,10.660324036174528,10.641338469043992,10.585794170413898,12.46579763849532,10.225766682668146,6.5119713306622415,5.6339667052374125,8.32411877002207,3.943424323975839,3.8167297867504617,3.8391355667165232,10.043751814833838,9.205288163140297,9.271401927474283,8.276152668717812,3,2,1.307945105739278,1.264460762874894,1.270547368847151,1.2939391942933087,1.030081863317873,1.3266946521727832,1.1876853378928132,1.210734228615776,1.0611461240554474,1.2908996390031582,1.3398365382267539,1.2631457490691587,1.0806035924251585,1.0652431024689175,1.1151851225204952,1.0561439057874602
2,2,14.20196280722626,13.985754041049287,14.132578762487901,14.317478775297856,10.549815122150346,13.145219210432401,7.217783500174487,6.954220118456835,7.477742786147939,4.972611942180476,4.547205479485455,5.165070523084723,9.339508611085083,9.857047285729118,7.843868552173699,8.85155860527549,10.30555009949608,10.603495665858343,10.658742434413707,10.668549930609508,10.374453949270736,9.790587722125533,5.938340549118438,5.586889186593809,7.0373572362738015,4.16164410374372,3.3111705104274862,3.981838590136923,8.659524182264477,9.480263821673477,8.981009883467216,7.731379538478883,3,2,1.3780887648026383,1.3189757870210015,1.325914276421417,1.342026692326675,1.0169031713608345,1.3426384179905575,1.215454627513066,1.244739225389336,1.0625782570201476,1.1948671770628412,1.3732924550896628,1.2971571815790535,1.0785244563683163,1.0397439850982049,0.8733838013710646,1.144887346588213
3,3,13.111971048681836,13.084447724696972,13.150808827525735,13.346896345227938,11.551567971762248,12.731383038513293,8.053094908544564,7.367007983743668,8.480428669366727,5.500444116118038,5.847362599426687,5.38361611082472,10.12717669845313,10.697976107719693,10.513520712634794,9.424767614845898,9.191460546397646,9.450469200898471,9.420374865571732,9.460219206654244,10.638161603513186,8.857854119646614,6.377233787585619,5.7534384224094115,7.039741947519325,4.062257737132218,3.961751755064496,3.983800542072806,8.405420379333865,9.560436468635986,9.404207024277424,8.22742262046248,3,2,1.4265383594363283,1.3845288997347363,1.395996339337564,1.410844300081317,1.0858612984359455,1.437298793426191,1.2627880953998105,1.2804530861144647,1.204650501763786,1.3540362212470345,1.4759538105717314,1.351376921100467,1.2048388113166228,1.118984069693421,1.1179593011397582,1.1455309942879914
4,4,13.098833000943197,12.91904010537734,13.061474188066851,13.269792694256582,12.817261745289311,13.590445016885495,7.810362406111334,7.118001361164192,9.007190101583877,5.279801526049078,5.2286689595312925,5.023110660677516,10.969196914522724,10.030888802964537,10.854508444028783,8.783426460246309,9.625739891787397,9.720168741851085,9.728301988771092,9.740979669557255,13.098993674431881,10.371048376558322,6.664244575600728,5.7544111980951245,8.698057938177966,4.151968492173606,3.8849859121240966,3.804380391939628,10.28279552267852,9.266887190271754,9.7250904141193,8.160062247902243,3,2,1.360813106130056,1.329096278931169,1.3426263085935324,1.3622646945591785,0.9784920936565924,1.3104215237876986,1.1719801573169744,1.2369643246072606,1.0355403660912688,1.2716381485074897,1.3458656164527876,1.3203492141111919,1.0667524108916062,1.0824442552289641,1.1161344503563426,1.0763920903304773
5,5,13.467181594267712,13.314628395693806,13.434839968422928,13.391728516584365,11.528407331652081,12.748623153287465,7.700024569422455,7.242535239702993,8.003302453183442,5.302258786479005,5.267002387573322,5.143020318133571,10.090742567752095,10.194210285113458,9.648535179828857,9.256035540146316,8.701596391448332,8.984479050481177,8.980166639111172,9.381246304358593,10.32937987807158,8.465276275407952,5.772345401670277,5.290034147141606,6.870479452317983,3.7357615664346016,3.4980707473799453,3.6676929013367303,8.697881226816053,9.011694376769132,8.540821398573389,7.853701381213979,3,2,1.5476679207395616,1.4819588671622226,1.4960568671309942,1.4274999378667284,1.1160793259357165,1.505990204988684,1.333950765869691,1.3690904516403533,1.1648826706676583,1.4193247326379725,1.5056877827637722,1.4022494403114125,1.1601380042580685,1.131220152271551,1.1296963991590427,1.1785571020419385
6,6,13.057072060751937,12.963964155584678,13.025846998090575,13.226214421540613,12.783224605926552,13.668331133827248,7.7599174256998,6.948778860379393,8.847676411299771,5.248222631139887,5.166782413480591,4.905183202278676,10.920790710272524,10.119715599940466,10.779903717157424,8.648488042085733,9.681731201255802,9.823556056526114,9.810632003506676,9.844098054825324,12.85812097314749,9.892557110339322,6.474433264110651,5.582681941119256,8.49954613299388,3.977498742380971,3.6243936148756126,3.5802311945607035,10.091907100352651,9.23183878164469,9.308569197545664,7.9550431583658465,3,2,1.348629887499699,1.3196813944958645,1.3277276115784045,1.3435679274910781,0.9941751701218748,1.3816782639082905,1.1985477506911528,1.2447026238765542,1.0409586903651837,1.3194781371566815,1.4255577518607652,1.3700744269618446,1.0821334958474704,1.096175511650085,1.158062371175121,1.087170474114981
7,7,13.110848602528113,13.00112561526923,13.29749870952582,12.55989692274791,11.498303476486724,12.070968165134653,7.981204973090787,7.185816379324727,8.508735606432575,5.346943587788211,5.575735091659124,5.115904668662461,10.489124831277401,10.9012973977105,10.891321941711512,9.398872056015236,9.819059583085858,9.97275624548625,9.764755505071763,10.627598302355773,10.907886568783177,9.16491361084007,6.500264341298371,6.017407639492433,7.57146457190983,4.1683744577478565,3.985189346294949,4.220939526236595,9.2484057649723,10.044791833040957,9.547285472389085,8.440571852185439,3,2,1.3352448359833393,1.3036642323583958,1.3617851161372314,1.1818189364537623,1.054127525435884,1.317084773265878,1.2278277550012082,1.1941714455514019,1.1237899253996413,1.2827407043169359,1.399114221973647,1.2120298423758324,1.1341549125152184,1.0852686226759012,1.1407768179981006,1.1135349856161314
10,10,13.743538334496096,13.48640889801018,13.634736480574825,13.868882115528455,13.699805530624866,12.3550287457396,8.477122812919816,7.306243765787317,9.466524833305561,5.675134916482531,5.843716733889448,5.390741427154177,10.744326590361819,10.775072151582746,10.231823792343928,9.277604581619519,9.019519234508822,9.312374098419511,9.33722074069381,9.26476947390426,12.22161442680266,8.580897277478073,6.403649189472143,5.712458916003289,7.927211480351581,4.0826255056978304,3.8435583629898815,3.9391008889630004,9.230974616027153,9.771404762361902,9.104487737515667,8.206391410562018,3,2,1.5237550890642932,1.4482245618009573,1.4602564145400811,1.4969484297037756,1.1209489231292107,1.4398294661057573,1.3237956299755689,1.2790015426315078,1.1941809369876568,1.3900699215644805,1.520392350525843,1.3685207815465048,1.1639428161471845,1.102714749171668,1.123822019132718,1.1305340090991514
12,12,13.656989508461564,13.54767399967581,13.73286855408586,13.867094492735081,12.584721793014047,12.580491458753695,8.243771065009128,7.599256278141413,8.961086734054573,5.7635539781949605,5.7078007417009555,5.707028507572208,10.452823021182182,11.1392761470275,10.604997938096131,9.71216853865458,10.494156594831859,10.78800492753182,10.678382287458447,10.58525175826349,13.199745314343009,10.022062047360631,6.8770771709991525,6.212321702148348,8.693089983822546,4.9196654592687645,4.428983895691832,4.48692148345491,10.157804329923726,10.326464726944584,9.772427320609891,8.310596606662306,3,2,1.301389910189384,1.2558090296289264,1.2860439141811628,1.3100391761499282,0.9534064099963604,1.2552797417640056,1.198731795503672,1.2232554337154553,1.0308287100134426,1.1715337203135003,1.288738201837459,1.2719252005225241,1.0290435493415997,1.0787114895150969,1.0851958873851497,1.1686487743694218
14,14,13.567735968439527,13.47080203360606,13.48470532273151,13.773335136236405,11.55792818046759,12.093381692312295,7.768163516303932,7.087710398140447,8.338611256436014,5.559388165938944,5.915045262173978,5.180214312934956,10.402771209069464,10.984518945460485,10.33510680017208,9.099095447610846,9.749987585728608,10.186267593392444,10.0537276082335,10.022777625891301,10.666614683547213,8.84650975254385,6.163553145814722,5.639076822931008,7.290358898398309,4.120611013169971,3.9903510900607513,3.9434207184833534,9.17267063186182,9.999379110927704,9.246201260734502,8.308960271295964,3,2,1.3915644352510856,1.3224472958421203,1.3412642403090584,1.374203404518972,1.0835610475641526,1.3670229311435274,1.2603385308000141,1.2568919737568829,1.1437861115819696,1.3491659727575513,1.4823370497165762,1.3136347051823767,1.1341049544431276,1.0985201004586558,1.117767882044899,1.0950943500168695
15,15,13.609151206219803,13.569166112005124,13.668236452979071,13.91056020956502,12.538648642023206,13.133736406569525,8.502531836880795,7.835764541753496,8.765676291057897,5.936731577685378,5.888520660768787,5.794781018943748,10.117850612702586,11.025400089681783,10.882451238994305,9.745472501223038,10.057103822862688,10.580794818523737,10.434241436035434,10.256778500670759,11.626751340355256,10.123370235490434,6.9781718709825125,6.237286110155869,7.902147362350062,4.842333964489155,4.48823496373137,4.415520549768024,8.937092194748454,10.13894135072024,9.919474957125846,8.481685058172934,3,2,1.3531879004055114,1.2824335359239425,1.3099405967140836,1.3562309265677635,1.0784309627834603,1.2973679813196373,1.2184468932668544,1.2562778752436738,1.10927775566704,1.2260062236974762,1.3119902831186152,1.3123664477675652,1.1321188583740873,1.087431094460229,1.0970793601506788,1.1490019299681873
16,16,13.583027714415893,13.413920947621575,13.495233586128654,13.762283250196301,11.566749600530093,12.112369780225384,7.698180733271338,6.94929315038781,8.223284321478701,5.422664664415832,5.66534784545812,5.075346589755216,10.423377061087386,10.772443396298687,10.170358168445977,9.056453265170484,9.065016021127704,9.340735755870632,9.259172542383359,9.31750021805732,10.570585938629252,8.128541019798577,5.8698295777525775,5.301313416804403,7.14623169471967,3.8143574563519502,3.6215209210816233,3.5742312456169123,8.897452451754686,9.739522336390527,9.226624352327685,8.096436018317208,3,2,1.49840085034137,1.436066847217143,1.4574988773948163,1.4770359997979918,1.0942392094141584,1.4901037899327134,1.311482834603657,1.3108625361329416,1.1507161638146806,1.421645644507074,1.5643559622916872,1.4199827154382147,1.171501294062186,1.1060545912040036,1.1022837584018697,1.1185728195321192
