,Unnamed: 0,DNA-1_Nuc,DNA-2_Nuc,DNA-3_Nuc,DNA-4_Nuc,DNA-5_Nuc,MLC2v_Nuc,pS6-240_Nuc,p-Src_Nuc,c-Jun_Nuc,CleavedCaspase3_Nuc,pan14-3-3_Nuc,pRb_Nuc,Oct4a_Nuc,B-actin_Nuc,B-tubulin_Nuc,pAKT-S473_Nuc,pS6-235_Nuc,p-mTor_Nuc,NFkB_Nuc,mTor_Nuc,DNA-1_Cyto,DNA-2_Cyto,DNA-3_Cyto,DNA-4_Cyto,DNA-5_Cyto,MLC2v_Cyto,pS6-240_Cyto,p-Src_Cyto,c-Jun_Cyto,CleavedCaspase3_Cyto,pan14-3-3_Cyto,pRb_Cyto,Oct4a_Cyto,B-actin_Cyto,B-tubulin_Cyto,pAKT-S473_Cyto,pS6-235_Cyto,p-mTor_Cyto,NFkB_Cyto,mTor_Cyto,Dose,Drug,DNA-1_NC_Ratio,DNA-2_NC_Ratio,DNA-3_NC_Ratio,DNA-4_NC_Ratio,DNA-5_NC_Ratio,MLC2v_NC_Ratio,pS6-240_NC_Ratio,p-Src_NC_Ratio,c-Jun_NC_Ratio,CleavedCaspase3_NC_Ratio,pan14-3-3_NC_Ratio,pRb_NC_Ratio,Oct4a_NC_Ratio,B-actin_NC_Ratio,B-tubulin_NC_Ratio,pAKT-S473_NC_Ratio,pS6-235_NC_Ratio,p-mTor_NC_Ratio,NFkB_NC_Ratio,mTor_NC_Ratio
0,0,12.572792658928096,12.544323216275522,12.721016754222894,12.715529903570511,12.854551384048994,10.118996701332044,11.559128118926711,9.539972859763171,9.377300490688784,7.179411395696023,8.148292086955768,5.052827216910138,5.556607712533583,5.109915334984746,10.372131651543793,6.473318264059015,9.829131534655216,8.744119741924244,10.873362761847082,7.692073318089656,9.603039364428234,9.85141716031417,9.993283304222684,9.885232852369471,10.094642330748137,10.969119063440608,11.468245926386325,8.65640568420713,6.878054140914728,6.053665054335549,7.540590119324616,3.888027622443568,4.331251047896994,4.07686258892796,8.953444155713086,7.459144730507872,10.100291365880347,7.094345070269671,9.940524091240645,7.3652038561465565,10,2,1.309251392376926,1.2733521494561777,1.2729566816991569,1.2863156683782742,1.273403352280666,0.9224985746629399,1.007924681169531,1.1020709065389616,1.3633653208553655,1.185961121280443,1.080590770485425,1.2995862446405435,1.2829105611949119,1.2533940557286318,1.1584515937283708,0.8678365279042205,0.9731532664353494,1.2325478469560633,1.09384200088891,1.044380232825506
1,1,12.484613426373372,12.376912749845415,12.546576780052463,12.54058741206643,12.721387816062164,8.831340944995995,11.178287954531312,9.071557826483524,9.276591483357537,6.859700711245517,7.472887709376818,4.9800870612092325,5.4646476453172586,4.819667023396098,9.367222640438095,1.5179181382682707,9.39493983539334,8.865188065160591,9.636517674730369,7.010925210844897,12.463603728658367,12.369025289558039,12.570085327181564,12.521575111955695,12.680750589447632,9.710209774349957,11.337045345612125,9.140738203024256,9.022924696486248,6.964082540841063,7.312292641991936,4.391624936354457,5.445857124450308,3.9432494530536655,9.389518989126316,5.712463817673013,9.724406248954509,8.891031212168649,9.915364458492123,7.258479845123158,10,2,1.0016856840262578,1.0006376784025202,0.9981298021041858,1.0015183633002034,1.0032046388995577,0.9094902324689688,0.9859965814512457,0.9924316422805061,1.0281135879334196,0.9850114025812595,1.0219623413951788,1.1339964440003534,1.0034504248711533,1.222257704154053,0.9976254003305131,0.2657203943370618,0.9661196370116076,0.9970933464981332,0.971877303660489,0.965894424237523
2,2,12.755760168073945,12.641750009619727,12.840136440801112,12.826609978556936,12.994270658726867,11.632537671823364,12.404407473385206,9.99899915015726,10.113334558087542,7.5982702659986865,9.04944667796974,5.691222075950908,5.886694552686442,5.580745436800822,10.343878989562127,7.07371777720984,10.092637413486656,9.193875751184367,11.374981751277113,8.017657777139886,8.212679474272441,8.310568001359568,8.505116341364328,8.35135703187475,8.590950636993496,10.636303310478388,10.915054126619966,8.108469738488568,6.529616217506095,5.568686158958311,7.3485637649722015,3.7242821230801733,4.070694761057399,3.795659195242477,8.915638962412336,7.0855742980520535,8.754207871838103,6.228646447504388,9.191839968915499,6.820835690793589,10,2,1.5531788630048748,1.5211655818894205,1.5096955674025963,1.535871347566799,1.5125532909911312,1.0936635908420864,1.1364494696488,1.2331548951456148,1.5488405782522705,1.3644637261116603,1.2314578695098215,1.5281393535364,1.4461154417673214,1.4702967652616947,1.160194915156518,0.9983266676286955,1.152889851514061,1.4760631910433843,1.2375086804975342,1.1754656087027144
3,3,13.126801584904785,13.002631330079579,13.191930601445494,13.14852120943906,13.292234685094655,11.501134208518875,10.348470644357096,9.800547355920703,8.600929834898508,8.44956544531098,8.892812746588122,5.441840115937257,5.887780078198157,5.81430051034963,7.186375853995088,8.570652811099066,7.308879776098889,7.542216988555667,10.60983886826464,8.465458120055041,8.723752946396091,8.595776688886303,8.836259114285165,8.801448408418599,9.009857246368686,12.560518118262449,9.61052707041394,8.993297609476471,7.17117162326237,6.79418452381646,8.586118962708351,4.297389980717773,4.73218415786563,4.6812302237459935,7.163418011800874,8.607981538007161,7.760262453379397,6.53357361389645,10.694402706960306,7.4078628307487415,10,2,1.5047195473741213,1.5126767249422626,1.49293161628983,1.4939042529480124,1.4752991442180652,0.9156576265589494,1.076784922256233,1.0897612623865145,1.1993758184503889,1.2436467416643922,1.0357197221715444,1.2663128411325453,1.2441992707345815,1.2420454095284672,1.003204872611984,0.9956634750268369,0.9418340964635877,1.1543785123219403,0.9920927011061003,1.1427665864595127
4,4,12.805380362200305,12.795734122232592,13.008254315436773,13.048796998530904,13.20796823100788,10.800463758614967,11.770753630807526,10.256512375662542,9.43069708030634,8.238167809388546,7.582961157103315,5.637263772015923,6.147843456725664,7.439443330988241,12.80121035245758,5.793384639429282,8.655150033670525,8.908764338228313,11.619038530716765,8.332723872348764,10.238732375366606,10.243571750879207,10.471067402469146,10.468562070295864,10.693975756648957,11.214325516061647,11.965621210845766,9.836626895186892,8.248540297153582,7.534786177584325,8.402785289001438,5.24739165136737,5.701626861134017,8.088642352739384,11.881241769203225,7.759037916228616,9.88375309324351,7.3525385620102846,11.620333393230045,8.396027681929736,10,2,1.250680249540344,1.2491477029127396,1.2423045154278485,1.2464746266878768,1.2350849236586172,0.9630952608916221,0.9837143783340216,1.0426859211953134,1.1433170889109554,1.0933512398662026,0.9024342401118822,1.0742982697979022,1.07826127637944,0.919739432967848,1.0774303394481004,0.7466627566430599,0.8756946831853932,1.2116582950355224,0.9998885692458673,0.9924602666904949
5,5,12.663730756673612,12.569453055482454,12.802879264928258,12.857554775293341,12.986719814369886,10.411474404856694,10.805964397984026,9.956535115782122,9.448107282976245,7.899305746061448,6.198898689365183,5.345872145811441,5.726940411842444,7.2305268514984675,12.405959957457963,5.672405713161441,7.019910735904252,7.630447312485202,10.884122682172816,7.815618927606965,9.762654434614127,9.613686063770501,9.844607543885877,9.79178540381874,10.025636123872557,11.070321994601915,11.220867352841513,9.335765174782985,7.8515871885009405,7.266987985472628,8.82287997838549,5.328358368197146,5.631283594130537,8.218817992715156,11.27023423027353,8.498273527104315,8.190994957841616,7.182434664219253,10.646153785475894,8.15566701449881,10,2,1.297160607444378,1.307454078706695,1.3004966635647812,1.3130960539922545,1.2953512030470107,0.9404852370087802,0.9630239854183448,1.066493739867827,1.2033372433045757,1.0870123580571318,0.7025935640688074,1.0032868993419863,1.0169866809427979,0.8797526430086818,1.1007721493608096,0.6674774229224234,0.8570278424092752,1.0623761536596796,1.0223525699038438,0.9583053003160475
6,6,13.627093290692015,13.475925301389587,13.767253116475846,13.826040899949966,13.93189998077086,10.759551268382097,10.351747975025194,9.229443224941015,10.061420509858813,7.3660549007644525,8.5158750153462,5.158948879368201,5.821864332491119,5.036538088067599,8.673214770591661,7.764780704339143,9.94840299806406,8.784994574781509,10.869361787929591,7.471637942796594,9.857227911637636,9.707167298372363,9.794493726647502,10.112135396400893,10.425719195243829,10.776223459858947,11.361102984559038,8.326430132453147,7.2204094588199,6.065936942118949,7.599558377067095,3.932391983644522,4.204521149207009,4.081066953916155,8.392968224213325,7.605301501389374,10.756289698081632,6.533342378933192,10.583187642239855,7.0738669824652485,10,2,1.3824468108933143,1.3882448800124363,1.4056115099670552,1.3672721297690422,1.3363010953840515,0.9984528725170786,0.9111569527267145,1.108451410523254,1.3934695209796655,1.2143309386581502,1.1205749851260094,1.3119111474199763,1.3846676294134346,1.234122876429308,1.0333906359337615,1.0209694780569363,0.9248916938187656,1.34464016505683,1.0270404489992744,1.0562310489181297
7,7,13.63080108620414,13.542103390562007,13.76481367895862,13.775174550264358,13.885735286553759,11.989220551686433,12.471178259226857,10.335059449738512,9.73677181586951,8.302724864839888,9.72435186403086,5.8894089915134265,6.401051796537526,6.028592092530192,11.23828504540854,8.669090413820523,9.117160343715414,9.180320658081868,11.369680376307695,8.628971469173994,9.721502165002326,9.821173273799939,10.01363738084432,9.90904746591593,10.64292235529909,10.969624194169883,11.89832880732954,9.232852220220936,7.6046007566943254,7.16531479968431,8.731601973945763,4.645074993381988,5.097047617306614,4.796669147305066,10.521293579262606,8.154792003335118,8.491853135586986,8.176208886212624,10.408573336682831,7.851809931359418,10,2,1.4021291005082936,1.378868187438301,1.3746067643002677,1.390161324551801,1.3046919655145355,1.0929472459100689,1.048145370763702,1.1193788445030697,1.2803790925247767,1.1587383244076994,1.113696191494684,1.2678824346010102,1.2558351965956276,1.2568288342166067,1.0681467027551745,1.0630670175615846,1.073636130788454,1.1228089675598256,1.0923380187213212,1.098978648822186
8,8,12.688036337852006,12.57144876974584,12.782296638927145,12.804754149175386,12.92595919605055,12.004545432076233,11.772752691411107,9.717690185167578,9.382337461708024,7.325577763779004,9.157515030090293,5.328194986037789,5.806682498557372,5.497926926283911,10.633071265657891,8.189244261257862,10.044990887763102,8.769280019714742,11.18338346316315,8.078183922520937,8.814749389581799,8.901024220084006,9.07800592216562,8.983402673013417,9.197931615740831,11.039795798027669,10.838667471914297,8.08926827345759,6.361459757637318,5.579873799503829,7.496079541506077,3.5571610956609176,4.045510841655561,3.988431433576228,8.570623300199777,7.402928028257446,9.370351337903248,6.191955547588242,9.917394097477471,6.7827900548976965,10,2,1.439409763917743,1.4123597980308826,1.4080511456504803,1.4253790701870124,1.4053115130721106,1.0873883585981656,1.086180817145397,1.2013064540155192,1.4748717777305687,1.3128572485690277,1.2216405895087938,1.4978784605895996,1.4353397446788398,1.378468457549537,1.2406415371691857,1.1062169225472673,1.0719972523475108,1.4162375605442394,1.1276534292418297,1.1909824507523812
9,9,13.501983603959582,13.413470269792313,13.601119021149078,13.592576698225004,13.549496785693039,12.015451118508976,12.210620394764854,10.510992409165976,9.593693395961274,8.499236345233582,9.854784352013132,5.925892115998103,6.455402959933162,6.1548080071380085,11.3155886143493,8.948453814042804,8.88030871215667,9.12281959790297,11.706555854734054,8.91973821721373,9.375780466631776,9.48477340538104,9.635140374390305,9.684676278356182,10.02799714306926,10.925049081768822,11.476551301819404,9.118107915115235,7.54302709094037,6.658319224112028,8.53751899635831,4.652859570913228,5.018488382761952,4.999148002493676,9.730806826023713,8.029967649473031,8.307816015530683,6.751112531076036,10.419248823753573,7.644662354413597,10,2,1.4400916971139506,1.4142109354117398,1.4116160733163925,1.4035137889536278,1.3511667975551453,1.099807518353374,1.0639625157105408,1.1527602554189706,1.2718625135900516,1.2764837580113266,1.1542913528176866,1.2736021849967445,1.2863241812229513,1.2311713924188412,1.1628623213531797,1.1143822994890955,1.0689101318030836,1.3513061078318178,1.1235508483150634,1.1667929600663103
