,pRb Hi,pRb Low,Total,Percent Positive,,
Afatinib_signaling1,56,405,461,0.1214750542,,Median pRb Positive Cells
Dasatinib_signaling1,80,527,607,0.1317957166,,0.1796875
Gefitinib_signaling1,90,461,551,0.1633393829,,
Lapatinib_signaling1,77,448,525,0.1466666667,,
Nilotinib_signaling1,80,483,563,0.1420959147,,
Sorafenib_signaling1,75,532,607,0.1235584843,,
Sunitinib_signaling1,73,532,605,0.120661157,,
Crizotinib_signaling1,79,511,590,0.1338983051,,
Ponatinib_signaling1,86,426,512,0.16796875,,
DMSO_signaling1,74,451,525,0.140952381,,
Afatinib_signaling2,52,345,397,0.1309823678,,
Dasatinib_signaling2,42,321,363,0.1157024793,,
Gefitinib_signaling2,58,310,368,0.1576086957,,
Lapatinib_signaling2,35,247,282,0.1241134752,,
Nilotinib_signaling2,38,277,315,0.1206349206,,
Sorafenib_signaling2,70,416,486,0.1440329218,,
Sunitinib_signaling2,20,125,145,0.1379310345,,
Crizotinib_signaling2,58,371,429,0.1351981352,,
Ponatinib_signaling2,49,229,278,0.1762589928,,
DMSO_signaling2,45,340,385,0.1168831169,,
Afatinib_signaling1,48,527,575,0.0834782609,,
Dasatinib_signaling1,74,457,531,0.1393596987,,
Gefitinib_signaling1,107,613,720,0.1486111111,,
Lapatinib_signaling1,142,753,895,0.1586592179,,
Nilotinib_signaling1,105,706,811,0.1294697904,,
Sorafenib_signaling1,95,752,847,0.1121605667,,
Sunitinib_signaling1,67,572,639,0.1048513302,,
Crizotinib_signaling1,83,560,643,0.1290824261,,
Ponatinib_signaling1,89,603,692,0.1286127168,,
DMSO_signaling1,139,732,871,0.159586682,,
Afatinib_signaling2,78,617,695,0.1122302158,,
Dasatinib_signaling2,112,698,810,0.1382716049,,
Gefitinib_signaling2,6,29,35,0.1714285714,,
Nilotinib_signaling2,8,26,34,0.2352941176,,
Sorafenib_signaling2,8,33,41,0.1951219512,,
Ponatinib_signaling2,15,33,48,0.3125,,
DMSO_signaling2,67,593,660,0.1015151515,,
Afatinib_signaling1,9,417,426,0.0211267606,,
Dasatinib_signaling1,60,396,456,0.1315789474,,
Gefitinib_signaling1,139,48,187,0.743315508,,
Lapatinib_signaling1,22,183,205,0.1073170732,,
Nilotinib_signaling1,129,414,543,0.2375690608,,
Sorafenib_signaling1,23,416,439,0.0523917995,,
Sunitinib_signaling1,17,484,501,0.0339321357,,
Crizotinib_signaling1,24,67,91,0.2637362637,,
Ponatinib_signaling1,169,424,593,0.2849915683,,
DMSO_signaling1,96,274,370,0.2594594595,,
Afatinib_signaling2,243,217,460,0.5282608696,,
Dasatinib_signaling2,92,459,551,0.166969147,,
Gefitinib_signaling2,71,513,584,0.1215753425,,
Lapatinib_signaling2,54,482,536,0.1007462687,,
Nilotinib_signaling2,125,386,511,0.2446183953,,
Sorafenib_signaling2,17,497,514,0.03307393,,
Sunitinib_signaling2,154,205,359,0.4289693593,,
Crizotinib_signaling2,119,411,530,0.2245283019,,
Ponatinib_signaling2,106,290,396,0.2676767677,,
DMSO_signaling2,106,386,492,0.2154471545,,
Afatinib_proteome1,310,228,538,0.5762081784,,
Dasatinib_proteome1,149,536,685,0.2175182482,,
Gefitinib_proteome1,72,556,628,0.1146496815,,
Lapatinib_proteome1,40,423,463,0.0863930886,,
Nilotinib_proteome1,168,574,742,0.2264150943,,
Sorafenib_proteome1,260,196,456,0.5701754386,,
Sunitinib_proteome1,158,158,316,0.5,,
Crizotinib_proteome1,168,491,659,0.2549317147,,
Ponatinib_proteome1,109,440,549,0.1985428051,,
DMSO_proteome1,167,567,734,0.227520436,,
Afatinib_proteome3,38,208,246,0.1544715447,,
Dasatinib_proteome3,74,239,313,0.2364217252,,
Gefitinib_proteome3,56,226,282,0.1985815603,,
Lapatinib_proteome3,105,344,449,0.2338530067,,
Nilotinib_proteome3,111,273,384,0.2890625,,
Sorafenib_proteome3,89,285,374,0.2379679144,,
Sunitinib_proteome3,116,260,376,0.3085106383,,
Crizotinib_proteome3,74,186,260,0.2846153846,,
Ponatinib_proteome3,94,285,379,0.2480211082,,
DMSO_proteome3,89,195,284,0.3133802817,,
Afatinib_proteome1,194,432,626,0.3099041534,,
Dasatinib_proteome1,168,596,764,0.219895288,,
Gefitinib_proteome1,152,490,642,0.2367601246,,
Lapatinib_proteome1,74,505,579,0.127806563,,
Nilotinib_proteome1,158,577,735,0.2149659864,,
Sorafenib_proteome1,70,677,747,0.093708166,,
Sunitinib_proteome1,151,340,491,0.3075356415,,
Crizotinib_proteome1,127,400,527,0.2409867173,,
Ponatinib_proteome1,142,516,658,0.2158054711,,
DMSO_proteome1,242,502,744,0.3252688172,,
Afatinib_proteome3,74,157,231,0.3203463203,,
Dasatinib_proteome3,46,210,256,0.1796875,,
Gefitinib_proteome3,49,241,290,0.1689655172,,
Lapatinib_proteome3,41,266,307,0.1335504886,,
Nilotinib_proteome3,40,215,255,0.1568627451,,
Sorafenib_proteome3,45,249,294,0.1530612245,,
Sunitinib_proteome3,77,261,338,0.2278106509,,
Crizotinib_proteome3,75,231,306,0.2450980392,,
Ponatinib_proteome3,65,256,321,0.2024922118,,
DMSO_proteome3,70,176,246,0.2845528455,,
Afatinib_proteome1,231,339,570,0.4052631579,,
Dasatinib_proteome1,33,169,202,0.1633663366,,
Gefitinib_proteome1,112,300,412,0.2718446602,,
Lapatinib_proteome1,42,194,236,0.1779661017,,
Nilotinib_proteome1,107,700,807,0.1325898389,,
Sorafenib_proteome1,84,246,330,0.2545454545,,
Sunitinib_proteome1,47,84,131,0.358778626,,
Crizotinib_proteome1,34,80,114,0.298245614,,
Ponatinib_proteome1,139,562,701,0.1982881598,,
DMSO_proteome1,201,466,667,0.3013493253,,
Afatinib_proteome3,28,154,182,0.1538461538,,
Dasatinib_proteome3,57,245,302,0.1887417219,,
Gefitinib_proteome3,60,247,307,0.1954397394,,
Lapatinib_proteome3,61,398,459,0.1328976035,,
Nilotinib_proteome3,65,255,320,0.203125,,
Sorafenib_proteome3,34,362,396,0.0858585859,,
Sunitinib_proteome3,71,307,378,0.1878306878,,
Crizotinib_proteome3,71,250,321,0.2211838006,,
Ponatinib_proteome3,106,374,480,0.2208333333,,
DMSO_proteome3,57,175,232,0.2456896552,,
